Cruise Number,Sample Date Local,Year,Vessel Name,Transect Name,Distance Offshore Nautical Miles,Station Depth Meters,Station Code,Start Time Local,Start Latitude Decimal Degrees North,Start Longitude Decimal Degrees West,Salmon Id Number,Common Name,Genus Species,Age Classbylength,Tagged Code,Tagged Description,Count,Field Length Millimeters,Type Of Length,Length Description,Method Saved,Lab Fork Length Millimeters,Lab Weight Grams,Pit Code,Coded Wire Tag Number,Genetic Stock Best Estimate,Genetic Stock Best Estimate Probability,Genetic Stock Second Best Estimate,Genetic Stock Second Best Estimate Probability,Insulin Like Growth Factor One Nanograms Per Milliliter,Parentage Based Tag Hatchery Assignment,Parentage Based Tag Probability,Fork Length Millimeter Freshwater Emmigration Otolith,Record Number,Accessed Date,Source Url,Preferred Citation
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35032,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,1,147,FL (mm),Fork Length,Frozen,144,25.6,,,Snake_Sp,.999,,,41.26006,RapidRiver,.998747,,Row 1 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35033,Chinook salmon,Oncorhynchus tshawytscha,mixed age juvenile,NO,NO TAG,1,444,FL (mm),Fork Length,Frozen,,1011.7,,,,,,,62.11528,,,,Row 2 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35034,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,139,FL (mm),Fork Length,Frozen,,,,,Wenatchee,1,,,,,,,Row 3 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35035,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,121,FL (mm),Fork Length,Frozen,,,,,Okanogan,1,,,,,,,Row 4 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35036,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,112,FL (mm),Fork Length,Frozen,,,,,Wenatchee,1,,,,,,,Row 5 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35037,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,220,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,.9986,,0,42.70981,,,,Row 6 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35038,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,152,FL (mm),Fork Length,Frozen,,,,,Low_Columbia,.9991,,0,,,,,Row 7 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35039,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,201,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,.9952,,0,9.923847,,,,Row 8 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35040,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,200,FL (mm),Fork Length,Frozen,,,,,Salmon_R,.7249,Mid&Up_CR/Low_Snake,.2751,38.11324,,,,Row 9 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
51,2015-05-24 00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24 13:51:00,46.17117,-124.451,35041,Hybrid steelhead and cutthroat trout,Steelthroat,juvenile,NO,NO TAG,1,194,FL (mm),Fork Length,Frozen,,,,,,,,,62.14211,,,,Row 10 of 1808,Accessed on 2024-05-01 14:31:48,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: Ocean Juvenile Salmon Metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
