Cruise Number,Sample Date Local,Year,Vessel Name,Transect Name,Distance Offshore Nautical Miles,Station Depth Meters,Station Code,Start Time Local,Start Latitude Decimal Degrees North,Start Longitude Decimal Degrees West,Salmon Id Number,Common Name,Genus Species,Age Classbylength,Tagged Code,Tagged Description,Salmon Field Length Millimeters,Type Of Length,Length Description,Salmon Lab Length Millimeters,Salmon Lab Weight Grams,Stomach Condition Description,Prey Item Genus Species,Prey Item Common Name,Prey Item Life History Stage,Prey Item Count,Prey Item Weight Grams,Prey Item Condition Description,Record Number,Accessed Date,Source Url,Preferred Citation
51,2015-05-25 00:00:00,2015,Frosti,,,118,052515MC11,2015-05-25 13:46:00,46.28783,-124.3337,35178,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,141,FL (mm),Fork Length,142,25.5,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 1 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,118,052515MC11,2015-05-25 13:46:00,46.28783,-124.3337,35180,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,133,FL (mm),Fork Length,130,18.5,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 2 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,118,052515MC11,2015-05-25 13:46:00,46.28783,-124.3337,35181,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,147,FL (mm),Fork Length,146,27.9,Mostly to spp or genus,CEPHALOPODA,CEPHALOPODA,Juvenile,1,.693,Mostly to spp or genus,Row 3 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,118,052515MC11,2015-05-25 13:46:00,46.28783,-124.3337,35185,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,157,FL (mm),Fork Length,151,30.8,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 4 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,118,052515MC11,2015-05-25 13:46:00,46.28783,-124.3337,35186,Chinook salmon,Oncorhynchus tshawytscha,yearling,NO,NO TAG,113,FL (mm),Fork Length,112,12.3,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 5 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,118,052515MC11,2015-05-25 13:46:00,46.28783,-124.3337,35187,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,142,FL (mm),Fork Length,142,24,Most to taxa,CANCER MAGISTER,DUNGENESS CRAB,Megalopa,1,.019,Most to taxa,Row 6 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35253,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT,CWT,210,FL (mm),Fork Length,203,95.7,Most to taxa,OSTEICHTHYES,BONY FISHES,Juvenile,0,.343,Most to taxa,Row 7 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35254,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT/PBT,CWT & Parentage Based Tagging,140,FL (mm),Fork Length,144,25.6,Most to taxa,TEUTHIDA,SQUIDS,Juvenile,1,.099,Most to taxa,Row 8 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35255,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT/PIT,CWT & PIT Tag,140,FL (mm),Fork Length,138,25.1,Most to taxa,CANCER MAGISTER,DUNGENESS CRAB,Megalopa,2,.068,Most to taxa,Row 9 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35257,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,150,FL (mm),Fork Length,150,32.3,Most to taxa,SEBASTES,ROCKFISH,Juvenile,1,.445,Most to taxa,Row 10 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
