head_width,head_length,eye_length,femur_length,svl,interorbital,internarial,family
4.46,5.66,1.37,6.97,16.53,2.03,0.88,True Toads
4.07,5.25,1.69,7.5,17.31,2.38,0.73,True Toads
4.81,5.71,1.46,7.31,18.64,2.22,0.95,True Toads
4.57,5.15,1.6,7.52,17.62,2.23,0.71,True Toads
4.61,5.57,1.32,7.32,15.7,2.06,0.97,True Toads
24.56,20.66,5.91,26.8,71.75,8.7,2.38,True Toads
24.33,21.87,5.64,30.39,67.1,9.47,2.27,True Toads
22.43,18.69,7.22,30.4,61.89,9.97,3.42,True Toads
20.32,17.59,6.02,26.94,62.31,9.07,3.34,True Toads
25.43,19.74,7.41,29.49,79.65,9.9,2.68,True Toads
24.18,19.44,7.17,25.18,65.47,8.42,2.69,True Toads
26.33,21.16,8.04,30.27,78.47,10.76,3.07,True Toads
25.16,20.92,7.33,29.06,74.56,9.92,2.94,True Toads
22.78,18.27,5.97,25.74,70.71,8.29,2.54,True Toads
28.31,21.87,6.12,29.44,72.57,9.38,1.94,True Toads
18.16,17.34,4.41,21.92,54.22,6.62,2.15,True Toads
18.41,16.92,4.59,22.65,57.56,6.94,2.25,True Toads
18.8,18.86,4.85,24.48,60.32,7.62,2.92,True Toads
20.46,19.22,4.9,25.79,58.31,8.59,2.71,True Toads
19.74,18.02,5.09,24.18,60.07,7.6,2.17,True Toads
19.48,17.56,5.05,26.26,55.87,8,2.31,True Toads
20.45,18.55,5.09,31.27,71.73,9.69,2.54,True Toads
22.58,20.68,5.46,31.01,67.32,9.24,2.24,True Toads
12.14,11.86,3.46,11.9,40.55,5.85,1.55,True Toads
11.89,12.48,3.56,14.85,38.46,5.82,1.79,True Toads
37.96,32.21,7.94,42.78,100.89,12.7,3.98,True Toads
22.51,18.36,3.53,24.51,58.6,7.14,2.53,True Toads
20.8,19.78,4.98,21.12,58.86,7.41,1.83,True Toads
27.72,23.19,6.55,35.35,66.17,9.22,3.65,True Toads
29.25,24.15,5.92,35.68,74.48,10.48,2.95,True Toads
40.3,30.9,9.67,42.14,107.95,16.15,5.55,True Toads
39.2,30.08,9.05,45.19,102.88,14.34,5.3,True Toads
23.98,20.62,4.1,24.21,60.36,7.5,2.29,True Toads
24.48,21.76,5.41,25.28,69.12,8.94,2.62,True Toads
25.27,21.07,5.86,29.1,70.88,8.21,2.66,True Toads
23.07,19.84,4.79,24.39,63.85,7.66,2.17,True Toads
23.38,20.47,5.13,27.79,60.38,8.55,1.99,True Toads
32.33,26.47,8.36,34.35,92.32,10.66,3.51,True Toads
25.4,23.74,5.71,30.29,66.09,9.11,2.55,True Toads
21.26,21.39,4.96,26.81,58.55,7.24,1.97,True Toads
21.27,20.53,4.52,24.69,56.24,7.03,1.65,True Toads
37.72,31.24,8.53,34.68,111.69,17.17,5.15,True Toads
17.32,17.42,4.51,18.78,59.25,5.24,1.56,True Toads
17.46,15.81,4.69,16.63,54.55,4.67,1.47,True Toads
17.29,15.92,4.52,18.17,50.45,5.69,1.39,True Toads
18.26,16.62,4.59,20.48,54.16,4.61,1.23,True Toads
18.75,16.35,5.13,20.53,54.36,5.9,1.51,True Toads
32.43,27.34,8.61,37.5,87.13,10.66,3.69,True Toads
26.71,22.47,7.13,27.11,69.14,9.68,2.81,True Toads
24.59,20.49,6.58,30.14,62.52,8.85,2.31,True Toads
29.26,22.05,6.97,30.78,70.47,9.38,2.38,True Toads
21.72,18.33,5.11,23.25,58.83,7.98,1.84,True Toads
14.87,11.22,4.74,15.82,44.57,7.4,2.27,True Toads
14.07,11.31,4.08,16.86,45.76,8.01,1.91,True Toads
14.45,10.99,3.61,15.19,40.07,6.89,2.01,True Toads
12.29,9.81,3.82,13.85,37.03,6.31,1.85,True Toads
14.22,10.93,3.69,13.61,41.28,6.88,1.79,True Toads
16.29,16.26,4.96,17.25,49.59,6.91,3.02,True Toads
19.29,15.49,4.91,18.95,57.38,6.93,3.11,True Toads
18.21,15.45,5.51,14.95,55.89,6.26,3.08,True Toads
19.04,16.78,5.71,18.44,60.51,6.81,3.31,True Toads
16.92,15.66,5.65,17.78,50.02,6.57,3.61,True Toads
27.21,21.84,7.86,32.76,71.94,9.29,2.94,True Toads
19.16,15.41,4.57,18.19,49.15,5.66,2.35,True Toads
18.68,16.06,4.47,22.58,52.74,5.85,1.81,True Toads
21.99,20.61,6.45,20.74,60.97,8.44,2.2,True Toads
17.75,16.06,5.54,19.04,46.82,7.01,2,True Toads
29.73,24.8,8.63,36.22,76.92,10.36,2.15,True Toads
30.22,24,7.63,33.41,76.76,8.93,2.84,True Toads
28.41,21.61,7.34,35.87,71.22,8.7,2.77,True Toads
23.04,20.35,5.9,31.75,63.99,7.99,1.93,True Toads
21.53,19.81,5.49,28.57,59.11,8.19,2.09,True Toads
16.32,12.95,3.42,18.43,43.37,7.44,1.45,True Toads
17.43,12.53,4.16,16.29,45.63,6.85,1.49,True Toads
20.2,14.26,4.14,15.39,48.09,7.99,2,True Toads
20.63,15.27,3.59,17.51,55.31,8.8,2.42,True Toads
17.11,13.64,3.31,14.37,46.12,7.87,1.62,True Toads
7.29,5.86,1.88,8.95,21.72,2.84,0.73,True Toads
7.18,5.88,1.75,8.14,21.4,2.93,1,True Toads
7.12,5.57,1.58,7.58,21.11,2.95,0.99,True Toads
7.21,6.67,1.89,8.64,21.94,2.94,1.03,True Toads
7.04,4.86,1.86,7.86,21.73,3.05,0.65,True Toads
14.55,10.49,3.56,15.92,42.52,6.49,1.67,True Toads
14.52,11.36,2.95,15.39,41.72,7.56,1.42,True Toads
14.73,11.93,2.93,15.71,45.06,7.21,1.54,True Toads
14.76,12.14,3.26,15.99,47.17,7.22,1.87,True Toads
14.76,11.2,3.35,18.74,48.12,7.47,1.64,True Toads
22.19,20.05,5.81,23.95,63.51,10.85,2.83,True Toads
20.58,17.64,6.07,20.61,55.61,9,2.11,True Toads
21.1,17.18,5.92,20.24,60.11,8.31,2.53,True Toads
24.08,19.8,5.28,26.31,70.81,9.06,2.44,True Toads
20.19,20.14,5.45,23.56,58.96,8.3,2.24,True Toads
18.35,19.52,4.26,19.6,59.5,6.41,1.08,True Toads
19.37,19.04,5.06,18.97,51.84,7.29,1.72,True Toads
17.75,19.98,4.43,19.71,55.54,6.72,1.8,True Toads
18.11,16.48,5.07,21.91,52.49,6.71,1.64,True Toads
17.9,19.76,4.64,19.65,53.03,6.18,1.38,True Toads
31.61,28.76,7.4,42.79,87.43,11.44,3.77,True Toads
24.8,23.23,5.36,31.62,73.47,9.63,2.98,True Toads
24.88,24.37,5.29,33.79,70.58,9.46,2.73,True Toads
22.4,21.76,5.76,32.21,66.3,8.1,2.45,True Toads
24.94,23.26,5.57,32.68,69.7,8.97,2.66,True Toads
37.69,31.57,8.57,40.48,102.48,17.67,6.88,True Toads
39.37,32.39,10.48,40.99,96.56,15.79,6,True Toads
12.54,13.2,4.57,24.21,43.63,7.5,3.81,True Toads
11,11.61,3.66,19.88,37.02,6.28,2.66,True Toads
8.19,9.62,3.42,13.77,30.59,5.17,2.65,True Toads
7.85,9.53,2.59,14.81,28.91,5.12,3.14,True Toads
10.85,11.47,3.68,15.59,42.08,6.21,3.72,True Toads
10.57,10.99,3.33,15.89,40.81,6.02,3.95,True Toads
10.11,10.58,3.79,15.72,37.32,5.74,3.58,True Toads
10.17,11.37,4.29,14.4,38.86,6.3,3.6,True Toads
10.2,11.71,3.79,15.62,36.61,6.42,3.78,True Toads
12.47,12.75,3.59,18.06,44.31,7.02,3.88,True Toads
11.04,10.87,4.07,13.45,40.56,6.21,2.97,True Toads
10.17,9.46,3.83,10.95,30.74,5.19,3.09,True Toads
10.95,10.59,3.71,15.83,34.91,5.49,3.2,True Toads
11.59,10.74,3.66,12.22,38.45,6.27,2.98,True Toads
8.2,12.07,4.01,19.51,37.54,5.69,3.07,True Toads
8.43,10.78,3.99,14.7,34.18,6.14,3.02,True Toads
7.66,10.09,3.38,13.9,31.69,5.17,2.82,True Toads
8.1,10.35,3.21,15.92,32.75,5.36,2.37,True Toads
8.01,8.84,3.48,10.15,27.81,5.29,2.8,True Toads
9.52,10.86,3.38,14.05,38.07,5.87,3.05,True Toads
8.46,9.17,3.72,10.8,28.33,5.74,2.98,True Toads
9.07,10.56,2.99,16.46,33.89,5.38,3.05,True Toads
9.07,10.38,3.3,12.22,33.79,5.43,3.47,True Toads
8.83,9.35,3.52,13.57,28.79,5.33,2.61,True Toads
8.46,8.31,3.22,11.81,26.68,5.38,2.18,True Toads
8.18,8.62,3.26,12.62,27.69,4.66,2.41,True Toads
7.89,7.89,2.62,12.28,25.82,5.03,2,True Toads
8.26,8.72,2.89,12.39,27.33,5.08,2.36,True Toads
8.04,9.3,2.91,12.58,28.69,5.59,3.11,True Toads
6.7,8.15,3.02,11.5,26.71,5.55,2.18,True Toads
6.54,7.81,2.73,12.05,27.24,4.88,2.38,True Toads
10.63,11.35,3.05,15.83,40.97,7.04,3.36,True Toads
11.58,13.07,3.61,19.39,45.53,7.81,3.85,True Toads
11.35,11.9,3.37,17.57,43.58,6.39,3.53,True Toads
10.61,12.14,3.74,16.25,42.33,7.1,3.62,True Toads
10.55,11.93,3,15.03,41.68,6.53,3.02,True Toads
13.94,15.11,4.96,22.78,52.66,9.55,3.75,True Toads
11.99,13.07,4.17,19.04,46.33,8.5,3.71,True Toads
14.06,15.46,4.43,25.73,52.96,9.34,4.54,True Toads
11.1,12.36,5.43,21.12,41.59,7.32,3.62,True Toads
11.33,12.36,4.15,17.26,38.46,7.96,3.26,True Toads
23.86,21.39,5.69,29.34,64.09,9.29,2.08,True Toads
24.29,21.33,5.31,24.36,63.73,9.98,2.42,True Toads
23.43,22.72,5.06,30.55,64.09,9.47,2.3,True Toads
18.3,18.48,5.16,23.43,60.63,7.65,2.29,True Toads
24.39,21.89,5.09,27.58,63.01,9.42,2.28,True Toads
29.7,25.94,5.86,33.54,86.61,9.33,2.95,True Toads
33.04,28.41,8.05,40.88,92.81,11.55,4.58,True Toads
32.04,26.81,7.24,38.21,93.28,11.03,4.11,True Toads
30.38,27.06,7.82,41.91,89.08,10.73,3.4,True Toads
24.16,20.34,6.09,31.43,66.7,6.97,2.34,True Toads
24.48,21.08,5.08,22,61.87,8.37,2.44,True Toads
25.85,22.79,5.75,31.41,70.74,10.61,2.71,True Toads
26.24,22.47,5.41,30.73,64.31,9.35,2.59,True Toads
22.84,20.51,6.33,27.83,63.2,9.28,3,True Toads
17.82,16.98,4.39,23.4,57.16,6.93,1.99,True Toads
18.52,19.06,5.62,22.54,58.63,7.27,2.09,True Toads
18.46,18.36,5.94,22.99,57.91,7.13,1.87,True Toads
18.99,18.91,5.33,23.25,57.04,8.06,2.2,True Toads
62.71,50.14,12.25,61.42,152.96,27.81,10.21,True Toads
5.56,6.75,1.67,6.59,22.87,3.46,0.98,True Toads
5.21,5.9,1.63,6.07,18.76,3.04,1.07,True Toads
5.44,7.26,1.49,7.48,18.95,3.55,0.95,True Toads
4.13,5.4,1.43,5.88,15.61,2.69,0.97,True Toads
4.83,5.63,1.68,6.86,17.22,2.36,0.93,True Toads
23.31,21.4,7.05,24.95,66.14,9.45,2.91,True Toads
21.73,20.9,6.25,27.54,63.93,8.23,2.41,True Toads
21.27,22.08,6.19,25.47,65.24,8.39,2.9,True Toads
21.91,21.02,5.79,26.41,62.57,8.86,2.83,True Toads
22.19,22.13,5.86,28.23,65.28,9.13,2.92,True Toads
31.3,25.53,6.22,30.73,79.84,12.62,4.41,True Toads
37.18,31.29,7.56,31.38,86.87,13.63,5.51,True Toads
39.1,31.05,7.29,34.61,102.93,15.59,5.54,True Toads
30.51,26.5,6.39,24.91,77.4,12.02,3.16,True Toads
30.16,29.01,6.62,31.04,79.75,12.19,4.02,True Toads
27.71,27.82,7.21,32.89,75.3,11.66,2.69,True Toads
21.32,22.67,6.38,28.62,65.21,9.14,1.99,True Toads
17.14,18.76,5.26,23.42,50.25,7.49,1.64,True Toads
23.37,21.97,5.07,31.72,60.54,7.96,2.4,True Toads
27.5,24.39,5.53,37.32,69.86,8.56,2.27,True Toads
24.05,21.9,5.47,28.97,66.61,7.88,2.49,True Toads
27.36,22.97,5.75,30.84,69.77,8.81,2.87,True Toads
25.53,21.28,5.25,30.74,68.46,8.4,2.21,True Toads
17.13,17.94,5.97,21.83,46.51,6.89,1.97,True Toads
17.24,17.91,5.61,20.09,50.14,7.53,2.19,True Toads
19.51,20.95,6.8,18.28,54.89,8.04,2.16,True Toads
17.15,18.72,6.21,16.5,49.55,7.6,1.72,True Toads
21.32,23.06,6.97,26.52,61.2,9.18,2.96,True Toads
13.46,12.27,4.64,14.04,42.79,7.04,3.42,True Toads
16.25,14.03,5.89,19.62,45.87,6.83,2.89,True Toads
14.02,14.09,5.62,18.25,44.78,6.77,2.6,True Toads
17.04,16.62,6.49,17.73,52.51,7.18,2.5,True Toads
15.43,13.6,5.63,19.09,44.13,7,2.26,True Toads
21.39,22.86,5.76,22.64,56.81,8.58,1.89,True Toads
18.75,19.71,5.48,21.08,54.72,8.35,1.82,True Toads
28.25,30.35,7.87,29.77,81.48,11.99,3.5,True Toads
22.21,22.76,6.04,23.34,60.14,8.11,1.99,True Toads
24.95,22.69,5.22,21.63,66.17,8.31,2.22,True Toads
24.48,20.46,4.71,20.68,67.67,9,2.24,True Toads
24.92,21.9,6.52,23.08,68.28,8.26,2.23,True Toads
26.97,22.82,6.05,25.65,73.4,10.69,2.58,True Toads
25.96,23.22,6.02,22.67,70.45,9.96,2.31,True Toads
19.5,14.65,5.25,18.07,51.41,8.35,2.04,True Toads
23.67,19.05,6.73,23.41,60.12,9.89,3.22,True Toads
18.57,15.16,5.61,17.75,50.63,8.61,1.92,True Toads
18.05,16.11,5.22,18.2,49.64,8.77,2.57,True Toads
20.28,17.76,5.85,20.91,57.75,8.33,1.91,True Toads
30.2,26.08,7.7,22.45,78.75,10.97,3.4,True Toads
30.11,25.94,7.04,23.51,77.08,10.02,3.22,True Toads
29.83,25.27,6.47,26.57,80.61,10.08,3.39,True Toads
30.66,26.1,7.34,27.14,83.78,10.76,3.19,True Toads
30.52,27.1,6.97,26.1,80.25,11.35,3.01,True Toads
29.33,25.04,9.78,27.93,88.39,10.51,2.83,True Toads
29.09,28.01,7.89,27.17,87.09,12.03,3.02,True Toads
28.82,27.71,8.16,34.18,87.72,11.45,2.45,True Toads
29.47,27.37,7.86,22.98,88.6,11.9,2.77,True Toads
29.39,26.35,7.99,30.01,87.91,11.2,2.97,True Toads
24.47,25.48,7.12,27.73,66.67,9.66,2.06,True Toads
20.94,20.38,5.95,24.75,59.36,7.65,2.25,True Toads
20.83,20.92,6.19,24.44,59.11,7.92,2.19,True Toads
19.94,19.48,6.05,25.5,59.24,8.15,2,True Toads
24.01,22.19,6.9,22.83,66.73,8.38,2.11,True Toads
21.52,21.19,6.4,20.68,67.1,8.08,2.14,True Toads
20.62,19.96,6.56,20.8,64.84,7.64,2.19,True Toads
20.88,20.51,6.31,20.51,66.22,7.8,2.52,True Toads
22.72,22.76,6.87,21.41,65.68,9.25,2.6,True Toads
27.09,22.02,7.37,26.28,73.77,8.95,2.32,True Toads
25.27,21.59,7.28,19.31,69.04,8.8,2.16,True Toads
25.39,21.32,6.41,22.16,67.5,9.22,2.1,True Toads
25.09,23.81,6.34,26.39,70.89,8.78,2.15,True Toads
26.24,23.7,6.36,27,76.53,8.77,2.51,True Toads
22.47,22.64,5.77,26.03,64.74,8.72,2.1,True Toads
26.22,24.87,6.73,32.43,77.87,9.57,2.48,True Toads
